,Unnamed: 0,REVIEW ID,SOURCE,REVIEW BY,REVIEW DATE,REVIEW MONTH,REVIEW YEAR,REVIEW SUBJECT,text,REVIEW RATING,REVIEW TYPE,text_translated,topic_LDA,topic_NMF
1178,1178,133,Google + HK HILL,Manchikanti Deviduttaa Mohapatra,4/18/2015,April,2015,,hare Krishna hare rama .. I with my husband loved to stay here. so calm so peace..it simply cnt be described by words.,5,POSITIVE,hare krishna hare rama husband loved stay calm peaceit simply cnt described word,4,1
1179,1179,2805,Google + HK HILL,Gurpreet Singh,1/26/2016,January,2016,,Hare krishna hare rama ... Awesome place. No word for explain.,5,POSITIVE,hare krishna hare rama awesome place word explain,4,1
1180,1180,3638,Google + HK HILL,Radhika Krishna Das Mahesh,11/7/2016,November,2016,,Hare Krishna hare rama_/\_,5,POSITIVE,hare krishna hare rama__,4,1
1181,1181,3527,Facebook,Pradeep Kumar,9/29/2016,September,2016,,"Hare Krishna Hill in Bangalore is a reflection of Spiritual world, through association with Devotees, participating in festivals and by rendering little devotional service there one can Experience Krishna's personal presence. Its amazing..",5,POSITIVE,hare krishna hill bangalore reflection spiritual world association devotee participating festival rendering devotional service experience krishna personal presence amazing,3,1
1182,1182,1180,Trip Advisor,krs2886,5/30/2016,May,2016,Sri Radha Krishna Temple,"Hare Krishna Hill is the Hill on which this temple is situated.,There is a gold-plated dhwaja-stambha and a gold plated kalash shikara . There is free distribution of Sri Krishna prasadam to all visitors during the darshana hours.",4,POSITIVE,hare krishna hill hill temple situatedthere goldplated dhwajastambha gold plated kalash shikara free distribution sri krishna prasadam visitor darshana hour,3,1
1183,1183,2698,Google + HK HILL,Jaganath Dev,7/10/2015,July,2015,,Hare Krishna just awesome,5,POSITIVE,hare krishna awesome,4,1
1184,1184,5434,Trip Advisor,Vishweshbhat,7/10/2017,July,2017,ISKCON temple,Hare Krishna Krishna Krishna Krishna Hare Hare ... all over the place and makes you feel divine. This also has a party hall for events.,5,POSITIVE,hare krishna krishna krishna krishna hare hare place make feel divine party hall event,4,1
1185,1185,3557,Google + HK HILL,Govindaraj Setty,10/8/2016,October,2016,,hare Krishna prabhu Krishna is lord God,3,NEUTRAL,hare krishna prabhu krishna lord god,4,1
1186,1186,4862,Facebook,Raghavendra Bhakta,5/10/2017,May,2017,,Hare Krishna SRI SRI RADHA KRISHNA CHANDRA BHAGAWAN are my eternal parents and my family,5,POSITIVE,hare krishna sri sri radha krishna chandra bhagawan eternal parent family,3,1
1187,1187,3414,Trip Advisor,Sonal kSony,7/13/2016,July,2016,,"Hare Krishna temple , a good tourist spot",5,POSITIVE,hare krishna temple tourist spot,3,1
1188,1188,4884,Google + HK HILL,Sonal kSony,5/14/2017,May,2017,,"Hare Krishna temple , a good tourist spot",5,POSITIVE,hare krishna temple tourist spot,3,1
1189,1189,4887,Google + HK HILL,Haribabu Elluru,5/16/2017,May,2017,,"Hare Krishna Well maintained, peaceful atmosphere and politely wished by devotees Jai sriparbhupada",5,POSITIVE,hare krishna maintained peaceful atmosphere politely wished devotee jai sriparbhupada,2,1
1190,1190,4531,Google + HK HILL,Suresh.Danchan Anchan,3/24/2017,March,2017,,Hare Krishna Whenever I go to the temple I get a sort of enjoyment and then they even arrange some cultural program,5,POSITIVE,hare krishna temple sort enjoyment arrange cultural program,1,1
1191,1191,2694,Google + HK HILL,Balakrishna Kini Malpe,7/4/2015,July,2015,,Hare Krishna!,5,POSITIVE,hare krishna,4,1
1192,1192,2818,Google + HK HILL,Kumar Jagannath,3/1/2016,March,2016,,Hare Krishna! Best place and a mind soothing place in Bangalore! Viakunta on Earth! Interactions with the devotees @ Iskcon Temple at realising one's self!,5,POSITIVE,hare krishna place mind soothing place bangalore viakunta earth interaction devotee iskcon temple realising,2,1
1193,1193,3650,Google + HK HILL,Karthick S,11/9/2016,November,2016,,Hare Krishna! Must visit in Bangalore.,4,POSITIVE,hare krishna visit bangalore,3,4
1194,1194,4717,Google + HK HILL,Jagadish kiran,4/17/2017,April,2017,,Hare Krishna! Temple with commercial touch..,3,NEGATIVE,hare krishna temple commercial touch,4,1
1195,1195,9,Facebook,Manoj Madhavan,2/3/2015,February,2015,,Hare krishna.,4,POSITIVE,hare krishna,4,1
1196,1196,5309,Google + HK HILL,Narasimhasastry Bhandaram,7/3/2017,July,2017,,Hare Krishna.,5,POSITIVE,hare krishna,4,1
1197,1197,4785,Facebook,Santana Varun,4/28/2017,April,2017,,"Hare Krishna. Love this place, Hare Krishna Hare Hare",5,POSITIVE,hare krishna love place hare krishna hare hare,4,1
1198,1198,3472,Google + HK HILL,Deshant Kumar,8/17/2016,August,2016,,Hare Krishna. This Temple is very nice for worship.,5,POSITIVE,hare krishna temple nice worship,2,1
1199,1199,4762,Google + HK HILL,amarnath reddy,4/26/2017,April,2017,,Hare Krishna...!,5,POSITIVE,hare krishna,4,1
1200,1200,3473,Google + HK HILL,Ganesh Krishna Soordelu,8/19/2016,August,2016,,Hare krishna....,5,POSITIVE,hare krishna,4,1
1201,1201,15,Facebook,Lalit Aggarwal,2/12/2015,February,2015,,Hare krishna.............prnam,4,POSITIVE,hare krishnaprnam,4,1
1202,1202,3483,Google + HK HILL,Anil Pai,8/24/2016,August,2016,,Hare Krishna....Well maintained temple premises.. peaceful atmosphere...,5,POSITIVE,hare krishnawell maintained temple premise peaceful atmosphere,3,1
1203,1203,4971,Facebook,Manoj Yelchuri,5/22/2017,May,2017,,Hare Krishna..hare Krishna.. only word gives all the strength and energy.. this is place where we can get good knowledge on bagavad Gita,5,POSITIVE,hare krishnahare krishna word strength energy place knowledge bagavad gita,4,1
1204,1204,5376,Facebook,Raj Sharma,6/8/2017,June,2017,,Hare Krishna..hare Krishna.. only word gives all the strength and energy.. this is place where we can get good knowledge on bagavad Gita,5,POSITIVE,hare krishnahare krishna word strength energy place knowledge bagavad gita,4,1
1205,1205,4135,Trip Advisor,drmdutta2003,1/27/2017,January,2017,Magnificent ISKCON Temple Bangalore,"Hare Krishna..Hare Krishna...Krishna Krishna Hare Hare...Hare Rama...Hare Rama...Rama Rama Hare Hare !! One of the beautiful, well organised and clean temples I have ever visited. Very friendly staff, lift for the elderly people/physically challenged people. A must visit to sort the divine blessings!!",5,POSITIVE,hare krishnahare krishnakrishna krishna hare harehare ramahare ramarama rama hare hare beautiful organised clean temple visited friendly staff lift elderly peoplephysically challenged visit sort divine blessing,1,1
1206,1206,2691,Google + HK HILL,Deepak Jain,6/25/2015,June,2015,,Hare krishnna,5,POSITIVE,hare krishnna,4,1
1207,1207,3092,Google + HK HILL,Aditya Kh,6/22/2016,June,2016,,Hare Krisna Hare Rama,5,NEUTRAL,hare krisna hare rama,4,1
1208,1208,18,Facebook,Krishna Sen,5/25/2015,May,2015,,Hare krsna hare rama.moks ka dwar he.,5,POSITIVE,hare krishna hare rama door salvation,4,1
1209,1209,2903,Facebook,Priya Nataraj,4/13/2016,April,2016,Na,"Hare krsna... it's awesome, all glories to srila prabhupada.the place which teach us how to go back to God head. don't feel like stepping out of the temple",5,POSITIVE,hare krsna awesome glory srila prabhupadathe place teach back god head feel stepping temple,4,1
1210,1210,2553,Trip Advisor,Richa11_12,1/25/2016,January,2016,holy place,"hare ram hare krishna, its holy place and situated on the hill. awesomn experience. with family had great experience",5,POSITIVE,hare ram hare krishna holy place situated hill awesomn experience family great experience,2,1
1211,1211,3463,Google + HK HILL,DurgaSaran Kar,8/13/2016,August,2016,,Hare ram..,4,POSITIVE,hare ram,4,1
1212,1212,155,Google + HK HILL,Abhinesh krishnan,6/19/2014,June,2014,,Hare Rama Hare Krishna,5,POSITIVE,hare rama hare krishna,4,1
1213,1213,3502,Google + HK HILL,vivek surana,9/4/2016,September,2016,,Hare Rama Hare Krishna,5,POSITIVE,hare rama hare krishna,4,1
1214,1214,5503,Google + HK HILL,karthik mudaliyar,7/16/2017,July,2017,,Hare Rama hare Krishna hare Rama hare Krishna hare Rama hare Krishna hare Rama hare Krishna hare Rama hare Krishna hare hare Rama hare Krishna hare.,5,POSITIVE,hare rama hare krishna hare rama hare krishna hare rama hare krishna hare rama hare krishna hare rama hare krishna hare hare rama hare krishna hare,4,1
1215,1215,4791,Facebook,Sreeram Gowda,5/2/2017,May,2017,,"Hare Rama Hare Krishna is a beautiful Eco -friendly temple. In a valid boss, you will be more careful about security.",5,POSITIVE,hare rama hare krishna beautiful eco friendly temple valid bos careful security,4,1
1216,1216,4370,Facebook,Vishnu Matondkar,3/2/2017,March,2017,,Hare Rama hare Krishna Krishna Krishna hare hare..,5,POSITIVE,hare rama hare krishna krishna krishna hare hare,4,1
1217,1217,5400,Facebook,Vishal Chadha,6/23/2017,June,2017,,Hare Rama hare Krishna. Blessed to be with Lord Krishna wonderful darshan.,5,POSITIVE,hare rama hare krishna blessed lord krishna wonderful darshan,4,1
1218,1218,5292,Google + HK HILL,Chetan K.R,6/30/2017,June,2017,,Hare Rama Hare Krishna. temple of Radha Krishna. World famous ISKCON organization. Lively clean and peaceful atmosphere. Parking and locker available. Nearby mahalakshmi layout metro Photography inside Is Strictly prohibited,5,POSITIVE,hare rama hare krishna temple radha krishna world famous iskcon organization lively clean peaceful atmosphere parking locker available nearby mahalakshmi layout metro photography inside strictly prohibited,3,1
1219,1219,2223,Trip Advisor,lovebirdspabm,8/14/2015,August,2015,?Hare Rama Hare Krishna?,Hare Rama Hare Krishna.... Bengaluru's famous tourist spot... Very nice place and well maintained by the temple authority... You can also visit the Mahalakshmi temple and Anjaneya Temple near ISKCON,5,POSITIVE,hare rama hare krishna bengalurus famous tourist spot nice place maintained temple authority visit mahalakshmi temple anjaneya temple iskcon,3,1
1220,1220,2888,Facebook,Chetty's Mohan Chetty K,12/9/2015,December,2015,,"HARE RAMA HARE RAM RAMA RAMA HARE ,HARE KRISHNA HARE KRISHNA KRISHNA KRISHANA HARE.",5,POSITIVE,hare rama hare rama rama rama hare hare krishna hare krishna krishna krishana hare,4,1
1221,1221,5609,Google + HK HILL,Amit kumar,7/30/2017,July,2017,,Hare Rama hare Rama Hare Krishna Hare Krishna hare hare,5,POSITIVE,hare rama hare rama hare krishna hare krishna hare hare,4,1
1222,1222,3466,Google + HK HILL,Harikiran Chelluri,8/14/2016,August,2016,,"Hare Rama Hare Rama Rama Rama Hare Hare Hare Krishna Hare Krishna Krishna Krishna Hare Hare It's very Awesome, Beauti...",5,POSITIVE,hare rama hare rama rama rama hare hare hare krishna hare krishna krishna krishna hare hare awesome beauti,4,1
1223,1223,51,Facebook,Lp Pratap,5/23/2015,May,2015,,Hare Rama Hare Rama Rama Rama Hare Hare Hare Krishna Hare Krishna Krishna Krishna Hare Hare.,5,POSITIVE,hare rama hare rama rama rama hare hare hare krishna hare krishna krishna krishna hare hare,4,1
1224,1224,175,Google + HK HILL,Satish Navale,1/17/2014,January,2014,,Hare rama hare rama Rama rama hare hare Hare krishna hare krishna Krishna krishna hare hare.,5,POSITIVE,hare rama hare rama rama rama hare hare hare krishna hare krishna krishna krishna hare hare,4,1
1225,1225,2878,Facebook,Rajiv Kochhar,11/3/2015,November,2015,,"Hare Rama Hare Rama Rama Rama Hare Hare, Hare Krishna Hare Krishna Krishna Krishna Hare Hare",5,POSITIVE,hare rama hare rama rama rama hare hare hare krishna hare krishna krishna krishna hare hare,4,1
1226,1226,4321,Google + HK HILL,KUSUMBA JAGADISH,2/11/2017,February,2017,,"Hare Rama hare Rama rama rama hare hare, Hare krishna Hare Krishna Krishna Krishna hare hare.",5,POSITIVE,hare rama hare rama rama rama hare hare hare krishna hare krishna krishna krishna hare hare,4,1
1227,1227,2271,Trip Advisor,Cbvp,8/26/2015,August,2015,?Hare Rama Hare Rama Rama Rama Hare Hare?,Hare Rama Hare Rama Rama Rama Hare Hare.. This is the chants that one hears after entering the temple. a well managed temple on a hillock in bangalore.,5,POSITIVE,hare rama hare rama rama rama hare hare chant hears entering temple managed temple hillock bangalore,4,1
1228,1228,3702,Google + HK HILL,Prasun Sharma,11/19/2016,November,2016,,"Hare Rama Hare Rama, Rama Rama Hare Hare. Hare Krishna Hare, Krishna Krishna Krishna Hare Hare. I am a big fan of ISK...",5,POSITIVE,hare rama hare rama rama rama hare hare hare krishna hare krishna krishna krishna hare hare big fan isk,4,1
1229,1229,598,Trip Advisor,Rax2012,5/12/2013,May,2013,Hare Rama Hare Krishna,"Hare Rama, Hare Krishna this melody will go to your ear & mind as you enter the premises, its very nicely managed & clean. you have to stand in a que to get Darshan, when you enter the temple you will get relaxed & forget all the tensions, you can sit for a while & enjoy the relax environment. only thing is that while coming you have to pass all the stalls at the exit you will get Khichdi as bhog prasad which is very very tasty.",5,POSITIVE,hare rama hare krishna melody ear mind enter premise nicely managed clean stand darshan enter temple relaxed forget tension sit enjoy relax environment coming pas stall exit khichdi bhog prasad tasty,1,1
1230,1230,601,Trip Advisor,Aaki304558,5/19/2013,May,2013,Peace,"Hare Rama, Hare Krishna this melody will go to your ear & mind as you enter the premises, its very nicely managed & clean. you have to stand in a que to get Darshan, when you enter the temple you will get relaxed & forget all the tensions, you can sit for a while & enjoy the relax environment.",5,POSITIVE,hare rama hare krishna melody ear mind enter premise nicely managed clean stand darshan enter temple relaxed forget tension sit enjoy relax environment,1,1
1231,1231,472,Trip Advisor,krkavitha18,7/31/2013,July,2013,Well maintained temple,"Hare Rama, Hare Krishna....chanting n climbing up the stairs leads you to the shrine. On the natural rock the temple is well maintained walk on the bare foot is never felt dirty. Its a huge place. Loads of collection of books and also amphitheatre...animation movies of lord krishna is played some time. Food stalls r organised on festival days. Overall memorable place to visit.",5,POSITIVE,hare rama hare krishnachanting n climbing stair lead shrine natural rock temple maintained walk bare foot felt dirty huge place load collection book amphitheatreanimation movie lord krishna played time food stall r organised festival day memorable place visit,0,1
1232,1232,3519,Google + HK HILL,rahul kamsu,9/18/2016,September,2016,,"HARE RAMA,. HARE KRISHNA..... Gud place",5,POSITIVE,hare rama hare krishna gud place,4,1
1233,1233,4823,Trip Advisor,Lata C,5/8/2017,May,2017,Krishna consciousness!,"Hare Rama,hare Rama Rama Rama hare hare! The chanting s are so soothing and you never know when you start chanting with the voice over the speaker. Waiting in line for the Lord's glimpse is not so difficult.We can buy the Rs 300 family coupon and proceed for the Aarthi and darshan. The Lord Almighty takes you to another world when you sit in front of him and sing the bhajans. The prasadam, the book coupons, the way out ,the delicacies on the way all add on to the glory of the Lord. A very well maintained and beautiful temple.",5,POSITIVE,hare ramahare rama rama rama hare hare chanting soothing start chanting voice speaker waiting line lord glimpse difficultwe buy r family coupon proceed aarthi darshan lord almighty take world sit front sing bhajans prasadam book coupon delicacy add glory lord maintained beautiful temple,1,1
1234,1234,5526,Facebook,Kenny Nair,7/16/2017,July,2017,,Hare Rama. Hare Krishna. A very slothful and a vibrant atmosphere. A temple to visit when in Bangalore.,5,POSITIVE,hare rama hare krishna slothful vibrant atmosphere temple visit bangalore,4,1
1235,1235,692,Trip Advisor,monesh222,11/30/2013,November,2013,Sri Krishna,Hare sri krishna ...... what a temple an awesome outlook ..... went to bangaaaallore for a day trip on September good aas a nice experience,4,POSITIVE,hare sri krishna temple awesome outlook bangaaaallore day trip september aa nice experience,2,1
1236,1236,64,Facebook,Kavya Rajput,5/28/2015,May,2015,,Harekrishna haribol radhakrishna chandra temple is so nice.. Me nd my husband r also devotee of iskcon temple so jay narishma dev Harekrishna,5,POSITIVE,harekrishna haribol radhakrishna chandra temple nice husband r devotee iskcon temple jai narishma dev harekrishna,3,3
1237,1237,152,Google + HK HILL,VISHNU VAISHNAV,6/13/2014,June,2014,,Hari bol,5,POSITIVE,day,0,4
1238,1238,208,Google + HK HILL,Tina Bhanga,11/16/2013,November,2013,,Hari bol,5,POSITIVE,day,0,4
1239,1239,180,Google + HK HILL,Dhamodhar Raju,3/5/2014,March,2014,,Hari Bol... Hare Krishna..,5,POSITIVE,hari hare krishna,4,1
1240,1240,17,Facebook,Anu Shree,1/26/2015,January,2015,,Hari boll jai radha Raman ki jai ho bless with ur love and care,5,POSITIVE,hari boll jai radha raman jai bless ur love care,4,2
1241,1241,205,Google + HK HILL,K.G. PRAKASH,9/4/2014,September,2014,,Hari Hari Bol,5,POSITIVE,bols day,0,4
1242,1242,2894,Facebook,Shaik Shaik,12/22/2015,December,2015,,"Has that good imformation the god SHREE KRISHNA SWAMY BHAGAVAN,bangloore,WONDER FULL GOD.",5,POSITIVE,imformation god shree krishna swamy bhagavanbangloorewonder full god,2,1
1243,1243,2166,Trip Advisor,sreejit167,7/4/2015,July,2015,Iscon lives upto expectation,Has visited the temple quiet a few times now. It surely is one of the very good places to visit. The only problem which i found out that there is a variable treatment for people to let inside the temple. I thought that was not a good tactic for money making.,5,MIXED,visited temple quiet time surely place visit problem found variable treatment inside temple tactic money making,0,0
1244,1244,141,Google + HK HILL,Laxman Bujju,10/25/2014,October,2014,,Have 2 improve,3,POSITIVE,improve,0,0
1245,1245,5475,Trip Advisor,prasadsunil26,7/15/2017,July,2017,Beautiful,"have a feeling of being in Northern India. Radha, Krishna was simply superb,The temple is very easy to visit because of the efficient management of the visitors",5,POSITIVE,feeling northern india radha krishna simply superbthe temple easy visit efficient management visitor,3,4
1246,1246,2439,Trip Advisor,Sudarshan B,12/17/2015,December,2015,Must visit when in Bangalore,Have been there a number of times - nice temple that you can visit in Bangalore even if you are not all that religious.. pretty well maintained and overall the experience is very good.,5,POSITIVE,number time nice temple visit bangalore religious pretty maintained experience,0,4
1247,1247,1051,Trip Advisor,shobz2104,3/9/2015,March,2015,One of the biggest ISKCON in I,"Have been to many Isckon temples across India, but this one truly is the biggest of all. Best part is the walk on the 108 sacred stone with Hare Ram Hare Krishna chant. Temple has a divine atmosphere inside with bhanjans been enchanted in the back ground. Best time to visit on weekdays and non-holidays",4,POSITIVE,isckon temple india biggest part walk sacred stone hare ram hare krishna chant temple divine atmosphere inside bhanjans enchanted back ground time visit weekday nonholidays,0,1
1248,1248,3401,Trip Advisor,DarisaRohith,9/16/2016,September,2016,Spiritual Center at the core of the city!,"Have been to the place twice. And loved it. Calm, knowledgeable and Spiritual centeric. The biggest iskon in the world.",5,POSITIVE,place loved calm knowledgeable spiritual centeric biggest iskon world,2,2
1249,1249,866,Trip Advisor,tibnik,6/14/2015,June,2015,Calm & Peace beckon.,"Have been visiting ISKCON at Yesvantpur since 1998, and the calmness one experiences here hasn't chnaged, despite the rapid growth of the area all around, and increase in commercial activity & traffic. The Temple is very well maintained, and crowd management is good. The deities are very well adorned throughout the year & a darshan during the evening aarti is...",5,POSITIVE,visiting iskcon yesvantpur calmness experience chnaged despite rapid growth area increase commercial activity traffic temple maintained crowd management deity adorned year darshan evening aarti,1,0
1250,1250,628,Trip Advisor,snigdhamajumdar,4/11/2014,April,2014,Delightful!,"Have visited quite a few Iskcon's but this one is my favorite. Would have visited 9-10 times and I am never bored of this place. Love chanting 'Hare Ram Hare Ram' for 108 times on the steps, love going to the shopping place with books, idols, etc etc and the food joints. The prasad point. Just be aware of the timings. I am not very sure of the morning timings but in the evening it opens only around 4 pm.",4,POSITIVE,visited iskcon favorite visited time bored place love chanting hare ram hare ram time step love shopping place book idol food joint prasad point aware timing morning timing evening open pm,1,1
1251,1251,2004,Trip Advisor,Asheesh C,4/27/2015,April,2015,"Devotional Chants Move Your Feet, even if you don't always understand the lyrics! ...wonderful atmosphere","Have visited this place first to explore for my family and then felt compelled to share the joy with my in-laws when they visited us. The can be a little too busy and the architecture may not appeal everyone but once you are inside it doesn't take music to take hold of you, energize and refresh you. That is how I felt. To put the things in perspective ...let me mention here that I am not a very religious person and not a follower of ISKON. I felt a sense of peace when I visited the inner hall and attended Arti. Good idea to pay the amount to be part of a specialized Pooja specially if you happen to go there on a crowded day. That way you get to be closer to the idols and get prasadam to carry, along with books worth Rs. 70. http://www.tripadvisor.in/ShowUserReviews-g297628-d325162-r268431918-ISKCON_Sri_Radha_Krishna_Chandra_Temple-Bengaluru_Bangalore_Karnataka.html#",5,POSITIVE,visited place explore family felt compelled share joy inlaws visited busy architecture appeal inside music hold energize refresh felt put thing perspective mention religious person follower iskon felt sense peace visited hall attended arti idea pay amount part specialized pooja specially happen crowded day closer idol prasadam carry book worth r httpwwwtripadvisorinshowuserreviewsg297628d325162r268431918iskcon_sri_radha_krishna_chandra_templebengaluru_bangalore_karnatakahtml,0,0
1252,1252,3930,Trip Advisor,Gaurav C,12/30/2016,December,2016,Beautiful temple,"Having a touch of South Indian temple architecture,this is such a grand temple complex.Situated near Yeswanthpur station,its a must visit attraction.",4,POSITIVE,touch south indian temple architecturethis grand temple complexsituated yeswanthpur stationits visit attraction,3,0
1253,1253,5051,Google + HK HILL,Ayush Lahariya,5/31/2017,May,2017,,Having good management.,4,POSITIVE,management,1,0
1254,1254,5118,Google + HK HILL,ANIL GORANTLA,6/11/2017,June,2017,,Heard about the temple through my friend..wanna visit in my next vacation to India,4,POSITIVE,heard temple friendwanna visit vacation india,3,4
1255,1255,78,Facebook,Karthik Cb,4/13/2015,April,2015,,heart filled with devotionality during the visit,5,POSITIVE,heart filled devotionality visit,2,4
1256,1256,3622,Google + HK HILL,Anand Tilak,10/22/2016,October,2016,,Heaven in Bangalore,5,POSITIVE,heaven bangalore,2,4
1257,1257,5280,Google + HK HILL,Mohana Dasa,6/28/2017,June,2017,,Heaven on earth,5,POSITIVE,heaven earth,2,4
1258,1258,4573,Facebook,Vagmi Karthikeya Ganiga,4/3/2017,April,2017,,Heaven on earth... No place can replace it. Loved so much,5,POSITIVE,heaven earth place replace loved,2,2
1259,1259,5202,Google + HK HILL,Venkatramana Salesforce Developer,6/19/2017,June,2017,,"Heaven/Brindavan In Bangalore is ISKCON. Hare Rama Hare Rama,Rama Rama Hare Hare. Hare Krishna Hare Krishna,Krishna Krishna Hare Hare.",5,POSITIVE,heavenbrindavan bangalore iskcon hare rama hare rama rama rama hare hare hare krishna hare krishna krishna krishna hare hare,4,1
1260,1260,3106,Google + HK HILL,Manish Manish,7/3/2016,July,2016,,Heavenly experience during aarti. Jai Shree Krishna !!,5,POSITIVE,heavenly experience aarti jai shree krishna,2,1
1261,1261,5235,Trip Advisor,Indu333,6/24/2017,June,2017,Heavenly experience in the beginning and imagine the later experience,"Heavenly experience in the beginning when you walk on the steps chanting Hare Krishna. Very quiet and disciplined place , need to walk in the queue only. Beautiful darshan of all deities. Need to buy Prasad for the offering. You can spend quality time participating in the prayers. Later while coming back you will find a big market where all religious books and different deities are sold in metal. It is noisy there, sellers will call you sometime to buy the stuff, next is the eating corner where you find all the junk. Food is little expensive comparatively, enjoy eating it while standing.",3,POSITIVE,heavenly experience beginning walk step chanting hare krishna quiet disciplined place walk queue beautiful darshan deity buy prasad offering spend quality time participating prayer coming back find big market religious book different deity sold metal noisy seller call buy stuff eating corner find junk food expensive comparatively enjoy eating standing,1,1
1262,1262,464,Trip Advisor,Venki V,11/6/2014,November,2014,Lord Krishna is the idol of is,"Hello guys , Iskcon its giving daily to devotees for Darshan. Iskcon includes all gods in one place and also their selling devotional books, photos and many more. Iskcon timings for Darshan 4.15 am to 8.15 pm. So kindly visit the before timings. Iskcon group is helping for poor students. And supply food to schools its like Anna dasoha program is organised by iskcon temple.",5,POSITIVE,guy iskcon giving daily devotee darshan iskcon includes god place selling devotional book photo iskcon timing darshan pm kindly visit timing iskcon group helping poor student supply food school anna dasoha program organised iskcon temple,1,0
1263,1263,1600,Trip Advisor,James3215,9/15/2014,September,2014,"Souvenir and food processing also fulfilling, it is a big Hindu temple","Here is a famous Hindu temple in Bangalore south, which enshrined the Lord Krishna. Morning is free from 5:00 position, becomes a column in place a while after entering the entrance in the way that is worship in the bus or the like from afar When also a daytime weekend, it will be 1 hour position is to wait. However, once Once inside the temple walls and buildings that have been colored by Hindu architecture is very beautiful, is not troubled to souvenir There are many shop corner in the second half. Price of the goods that are sold in shops in the local price, also was able to very smoothly selection and shopping for the price display. Because it was staying in the vicinity of the hotel, was carrying a foot about two times a week. Incense Sandalwood selling in here, is recommended.",5,POSITIVE,famous hindu temple bangalore south enshrined lord krishna morning free position column place entering entrance worship bus afar daytime weekend hour position wait inside temple wall building colored hindu architecture beautiful troubled souvenir shop corner half price good sold shop local price smoothly selection shopping price display staying vicinity hotel carrying foot time week incense sandalwood selling recommended,0,0
1264,1264,633,Trip Advisor,travelfutureking,3/16/2014,March,2014,South India meets Iskcon,Here there is a true appreciation of Krishna or Govinda or Keshava or Madhava as called in South India. The temple is near Mahalakshmi metro. Near it is the Orion mall. The temple is closed in the afternoon. The restaurant is good and there is a stage where various activities take place. The place looks very South Indian and also the normal devotion of ISKCON.,4,POSITIVE,appreciation krishna govinda keshava madhava called south india temple mahalakshmi metro orion mall temple closed afternoon restaurant stage activity place place south indian normal devotion iskcon,3,0
1265,1265,5670,Google + HK HILL,Gagan Sachdeva,8/9/2017,August,2017,,Here we go with maha mantra 'hare ram hare ram hare Krishna hare Krishna' 108 times. Beautiful place.,4,POSITIVE,maha mantra hare ram hare ram hare krishna hare krishna time beautiful place,4,1
1266,1266,5166,Trip Advisor,Deepak J,6/20/2017,June,2017,Peace,Hey Guys if you want to spend little peaceful time in your busy life then come here and devote some time. Great atmosphere fresh air feel the great Krishna and make your life blissful and happy. Thank you. Jai shree Krishna.,5,POSITIVE,hey guy spend peaceful time busy life devote time great atmosphere fresh air feel great krishna make life blissful happy jai shree krishna,2,1
1267,1267,4876,Trip Advisor,jon j,5/15/2017,May,2017,Krishna,hey Krishna......i heard a lot of times about you and your place really really really you amazed me such a cool looks your are so beautiful nice place even though the place is so rush and busy with many devotees you really given my calmness......,5,POSITIVE,hey krishnai heard lot time place amazed cool beautiful nice place place rush busy devotee calmness,2,2
1268,1268,2857,Facebook,Mu Zakir,8/4/2015,August,2015,,Hi ..,5,POSITIVE,,0,0
1269,1269,517,Trip Advisor,lsatishkumar,10/24/2013,October,2013,Commercial place,"Hi friends, This temple has a become more commercial place,than a place of worship,but the temple and the lord krishna in it,is a visual treat for our eyes,for that reason I will visit again?",4,MIXED,friend temple commercial placethan place worshipbut temple lord krishna itis visual treat eyesfor reason visit,2,0
1270,1270,5429,Trip Advisor,hvnkumar,7/10/2017,July,2017,Hinduism for modern times,"Hi tech temple, nice place to visit and learn about Krishna's mythology. The organisation does excellent work in feeding school children through its Akshayapatra scheme. supplies nutritious vegetarian mid day meals to a number of schools. has an excellent restaurant in its premises which serves excellent satvic food.",4,POSITIVE,tech temple nice place visit learn krishna mythology organisation excellent work feeding school child akshayapatra scheme supply nutritious vegetarian mid day meal number school excellent restaurant premise serf excellent satvic food,0,3
1271,1271,4239,Trip Advisor,Nithy A,2/12/2017,February,2017,Good place to worship,"Hi, i visited Iskcon temple with my friends. Its really good place and nice botanical set way of temple inside. Inside awesome architectural ceiling and gold plated eye catching design, good reflection of positive vibrations. Thanks.",3,POSITIVE,visited iskcon temple friend place nice botanical set temple inside inside awesome architectural ceiling gold plated eye catching design reflection positive vibration,3,0
